symbol,name,sector,industry
2326,デジタルアーツ,Communication Services,情報･通信業
2327,日鉄ソリューションズ,Communication Services,情報･通信業
2329,東北新社,Communication Services,情報･通信業
2330,フォーサイド,Communication Services,情報･通信業
2331,綜合警備保障,Industrials,サービス業
2332,クエスト,Communication Services,情報･通信業
2334,イオレ,Industrials,サービス業
2335,キューブシステム,Communication Services,情報･通信業
2337,いちご,Real Estate,不動産業
2338,クオンタムソリューションズ,Communication Services,情報･通信業
2340,極楽湯ホールディングス,Industrials,サービス業
2341,アルバイトタイムス,Industrials,サービス業
2342,トランスジェニック,Industrials,サービス業
2344,平安レイサービス,Industrials,サービス業
2345,クシム,Communication Services,情報･通信業
2349,エヌアイデイ,Communication Services,情報･通信業
2351,ＡＳＪ,Communication Services,情報･通信業
2353,日本駐車場開発,Real Estate,不動産業
2354,ＹＥ　ＤＩＧＩＴＡＬ,Communication Services,情報･通信業
2359,コア,Communication Services,情報･通信業
2370,メディネット,Industrials,サービス業
2371,カカクコム,Industrials,サービス業
2372,アイロムグループ,Industrials,サービス業
2373,ケア２１,Industrials,サービス業
2374,セントケア・ホールディング,Industrials,サービス業
2375,ギグワークス,Industrials,サービス業
2376,サイネックス,Industrials,サービス業
2378,ルネサンス,Industrials,サービス業
2379,ディップ,Industrials,サービス業
2384,ＳＢＳホールディングス,Industrials,陸運業
2385,総医研ホールディングス,Industrials,サービス業
2388,ウェッジホールディングス,Financials,その他金融業
2389,デジタルホールディングス,Industrials,サービス業
2391,プラネット,Industrials,サービス業
2393,日本ケアサプライ,Industrials,サービス業
2395,新日本科学,Industrials,サービス業
2397,ＤＮＡチップ研究所,Industrials,サービス業
2404,鉄人化ホールディングス,Industrials,サービス業
2408,ＫＧ情報,Industrials,サービス業
2410,キャリアデザインセンター,Industrials,サービス業
2411,ゲンダイエージェンシー,Communication Services,情報･通信業
2413,エムスリー,Industrials,サービス業
2415,ヒューマンホールディングス,Industrials,サービス業
2418,ツカダ・グローバルホールディング,Industrials,サービス業
2424,ブラス,Industrials,サービス業
2425,ケアサービス,Industrials,サービス業
2428,ウェルネット,Industrials,サービス業
2429,ワールドホールディングス,Industrials,サービス業
2432,ディー・エヌ・エー,Industrials,サービス業
2433,博報堂ＤＹホールディングス,Industrials,サービス業
2435,シダー,Industrials,サービス業
2436,共同ピーアール,Industrials,サービス業
