symbol,name,sector,industry,lending
7447,ナガイレーベン,Industrials,卸売業,信用
7448,ジーンズメイト,Consumer Cyclical,小売業,信用
7451,三菱食品,Industrials,卸売業,信用
7453,良品計画,Consumer Cyclical,小売業,貸借
7455,三城ホールディングス,Consumer Cyclical,小売業,貸借
7456,松田産業,Industrials,卸売業,信用
7459,メディパルホールディングス,Industrials,卸売業,貸借
7463,アドヴァン,Industrials,卸売業,貸借
7466,ＳＰＫ,Industrials,卸売業,信用
7474,ジー・ネットワークス,Consumer Cyclical,小売業,信用
7476,アズワン,Industrials,卸売業,信用
7480,スズデン,Industrials,卸売業,貸借
7481,尾家産業,Industrials,卸売業,信用
7482,シモジマ,Industrials,卸売業,貸借
7483,ドウシシャ,Industrials,卸売業,貸借
7487,小津産業,Industrials,卸売業,信用
7490,日新商事,Industrials,卸売業,信用
7494,コナカ,Consumer Cyclical,小売業,貸借
7504,高速,Industrials,卸売業,貸借
7505,扶桑電通,Industrials,卸売業,その他
7506,ハウス　オブ　ローゼ,Consumer Cyclical,小売業,貸借
7508,Ｇ‐７ホールディングス,Consumer Cyclical,小売業,貸借
7512,イオン北海道,Consumer Cyclical,小売業,貸借
7513,コジマ,Consumer Cyclical,小売業,貸借
7514,ヒマラヤ,Consumer Cyclical,小売業,信用
7516,コーナン商事,Consumer Cyclical,小売業,貸借
7517,黒田電気,Industrials,卸売業,貸借
7518,ネットワンシステムズ,Communication Services,情報･通信業,貸借
7520,エコス,Consumer Cyclical,小売業,信用
7522,ワタミ,Consumer Cyclical,小売業,貸借
7524,マルシェ,Consumer Cyclical,小売業,貸借
7525,リックス,Industrials,卸売業,信用
7532,ドン・キホーテ,Consumer Cyclical,小売業,貸借
7537,丸文,Industrials,卸売業,貸借
7541,メガネトップ,Consumer Cyclical,小売業,貸借
7544,スリーエフ,Consumer Cyclical,小売業,貸借
7545,西松屋チェーン,Consumer Cyclical,小売業,信用
7550,ゼンショーホールディングス,Consumer Cyclical,小売業,貸借
7552,ハピネット,Industrials,卸売業,貸借
7554,幸楽苑,Consumer Cyclical,小売業,貸借
7558,トーメンエレクトロニクス,Industrials,卸売業,信用
7561,ハークスレイ,Consumer Cyclical,小売業,貸借
7562,安楽亭,Consumer Cyclical,小売業,信用
7581,サイゼリヤ,Consumer Cyclical,小売業,貸借
7591,エクセル,Industrials,卸売業,信用
7594,マルカキカイ,Industrials,卸売業,信用
7595,アルゴグラフィックス,Communication Services,情報･通信業,信用
7596,魚力,Consumer Cyclical,小売業,信用
7599,ガリバーインターナショナル,Industrials,卸売業,貸借
7600,日本エム・ディ・エム,Industrials,卸売業,信用
7601,ポプラ,Consumer Cyclical,小売業,貸借
7602,カーチスホールディングス,Industrials,卸売業,信用
7604,梅の花,Consumer Cyclical,小売業,信用
7606,ユナイテッドアローズ,Consumer Cyclical,小売業,信用
7607,進和,Industrials,卸売業,信用
7608,エスケイジャパン,Industrials,卸売業,貸借
7609,ダイトエレクトロン,Industrials,卸売業,貸借
7611,ハイデイ日高,Consumer Cyclical,小売業,貸借
7613,シークス,Industrials,卸売業,貸借
7615,京都きもの友禅,Consumer Cyclical,小売業,貸借
7616,コロワイド,Consumer Cyclical,小売業,貸借
7619,田中商事,Industrials,卸売業,貸借
7625,グローバルダイニング,Consumer Cyclical,小売業,貸借
7628,オーハシテクニカ,Industrials,卸売業,貸借
7630,壱番屋,Consumer Cyclical,小売業,貸借
7631,マクニカ,Industrials,卸売業,貸借
7637,白銅,Industrials,卸売業,貸借
7640,トップカルチャー,Consumer Cyclical,小売業,貸借
7649,スギホールディングス,Consumer Cyclical,小売業,貸借
7701,島津製作所,Technology,精密機器,貸借
7702,ＪＭＳ,Technology,精密機器,貸借
7703,川澄化学工業,Technology,精密機器,信用
7705,ジーエルサイエンス,Technology,精密機器,貸借
7709,クボテック,Technology,精密機器,貸借
7714,モリテックス,Technology,精密機器,信用
7715,長野計器,Technology,精密機器,貸借
7717,ブイ・テクノロジー,Technology,精密機器,貸借
7718,スター精密,Technology,電気機器,貸借
7719,テークスグループ,Technology,精密機器,信用
7721,東京計器,Technology,精密機器,貸借
7723,愛知時計電機,Technology,精密機器,貸借
7725,インターアクション,Technology,精密機器,貸借
7726,黒田精工,Industrials,機械,貸借
7727,オーバル,Technology,精密機器,貸借
7728,日本電産トーソク,Consumer Cyclical,輸送用機器,貸借
7729,東京精密,Technology,精密機器,貸借
7730,マニー,Technology,精密機器,信用
7731,ニコン,Technology,精密機器,貸借
7732,トプコン,Technology,精密機器,貸借
7733,オリンパス,Technology,精密機器,貸借
7734,理研計器,Technology,精密機器,貸借
7735,大日本スクリーン製造,Technology,電気機器,貸借
7739,キヤノン電子,Technology,電気機器,貸借
7740,タムロン,Technology,精密機器,貸借
7741,ＨＯＹＡ,Technology,精密機器,貸借
7744,ノーリツ鋼機,Technology,精密機器,貸借
7745,エー・アンド・デイ,Technology,精密機器,貸借
7747,朝日インテック,Technology,精密機器,信用
7751,キヤノン,Technology,電気機器,貸借
7752,リコー,Technology,電気機器,貸借
7756,日本電産コパル,Technology,精密機器,貸借
7757,日本電産サンキョー,Technology,電気機器,貸借
7758,セコニックホールディングス,Industrials,機械,信用
7762,シチズンホールディングス,Technology,精密機器,貸借
7768,ジェコー,Technology,精密機器,信用
7769,リズム時計工業,Technology,精密機器,貸借
7775,大研医器,Technology,精密機器,信用
7817,パラマウントベッドホールディングス,Industrials,その他製品,貸借
7819,ＳＨＯ−ＢＩ,Industrials,その他製品,貸借
7820,ニホンフラッシュ,Industrials,その他製品,信用
7821,前田工繊,Industrials,その他製品,信用
7822,永大産業,Industrials,その他製品,貸借
7825,ダンロップスポーツ,Industrials,その他製品,信用
7829,サマンサタバサジャパンリミテッド,Industrials,その他製品,信用
7831,ウイルコホールディングス,Industrials,その他製品,信用
7832,バンダイナムコホールディングス,Industrials,その他製品,貸借
7833,アイフィスジャパン,Industrials,その他製品,信用
7838,共立印刷,Industrials,その他製品,貸借
7839,ＳＨＯＥＩ,Industrials,その他製品,信用
7840,フランスベッドホールディングス,Industrials,その他製品,貸借
7844,マーベラスＡＱＬ,Communication Services,情報･通信業,貸借
7846,パイロットコーポレーション,Industrials,その他製品,貸借
7853,ＹＡＭＡＴＯ,Industrials,その他製品,その他
7856,萩原工業,Industrials,その他製品,貸借
7859,アルメディオ,Industrials,その他製品,貸借
7860,エイベックス・グループ・ホールディングス,Communication Services,情報･通信業,貸借
7862,トッパン・フォームズ,Industrials,その他製品,貸借
7864,フジシールインターナショナル,Industrials,その他製品,貸借
7867,タカラトミー,Industrials,その他製品,貸借
7868,廣済堂,Industrials,その他製品,信用
7873,アーク,Industrials,その他製品,貸借
7874,レック,Materials,化学,信用
7879,ノダ,Industrials,その他製品,貸借
7885,タカノ,Industrials,その他製品,貸借
7893,プロネクサス,Industrials,その他製品,信用
7896,セブン工業,Industrials,その他製品,信用
7897,ホクシン,Industrials,その他製品,貸借
7898,ウッドワン,Industrials,その他製品,貸借
7905,大建工業,Industrials,その他製品,貸借
7906,ヨネックス,Industrials,その他製品,信用
7908,きもと,Materials,化学,信用
7911,凸版印刷,Industrials,その他製品,貸借
7912,大日本印刷,Industrials,その他製品,貸借
7913,図書印刷,Industrials,その他製品,貸借
7914,共同印刷,Industrials,その他製品,貸借
7915,日本写真印刷,Industrials,その他製品,貸借
7916,光村印刷,Industrials,その他製品,貸借
7917,藤森工業,Materials,化学,信用
7919,野崎印刷紙業,Industrials,その他製品,貸借
7920,三浦印刷,Industrials,その他製品,信用
7921,宝印刷,Industrials,その他製品,貸借
7925,前澤化成工業,Materials,化学,貸借
7936,アシックス,Industrials,その他製品,貸借
7937,ツツミ,Industrials,その他製品,信用
7942,ＪＳＰ,Materials,化学,貸借
7943,ニチハ,Materials,ガラス･土石製品,貸借
7944,ローランド,Industrials,その他製品,貸借
7947,エフピコ,Materials,化学,貸借
7949,小松ウオール工業,Industrials,その他製品,貸借
7951,ヤマハ,Industrials,その他製品,貸借
7952,河合楽器製作所,Industrials,その他製品,貸借
7955,クリナップ,Industrials,その他製品,貸借
7956,ピジョン,Industrials,その他製品,貸借
7958,天馬,Materials,化学,貸借
7961,兼松日産農林,Industrials,その他製品,貸借
7962,キングジム,Industrials,その他製品,貸借
7966,リンテック,Industrials,その他製品,貸借
7968,ＴＡＳＡＫＩ,Industrials,その他製品,貸借
7970,信越ポリマー,Materials,化学,貸借
7971,東リ,Materials,化学,貸借
7972,イトーキ,Industrials,その他製品,貸借
7974,任天堂,Industrials,その他製品,貸借
7976,三菱鉛筆,Industrials,その他製品,貸借
7979,松風,Technology,精密機器,貸借
7981,タカラスタンダード,Industrials,その他製品,貸借
