symbol,name,sector,industry,lending
1301,極洋,Materials,水産・農林業,貸借
1332,ニッスイ,Materials,水産・農林業,貸借
1333,マルハニチロ,Materials,水産・農林業,貸借
1375,ユキグニファクトリー,Materials,水産・農林業,信用
1376,カネコ種苗,Materials,水産・農林業,信用
1377,サカタのタネ,Materials,水産・農林業,貸借
1379,ホクト,Materials,水産・農林業,貸借
1380,秋川牧園,Materials,水産・農林業,信用
1381,アクシーズ,Materials,水産・農林業,信用
1382,ホーブ,Materials,水産・農林業,信用
1383,ベルグアース,Materials,水産・農林業,信用
1384,ホクリヨウ,Materials,水産・農林業,信用
1401,エムビーエス,Industrials,建設業,信用
1407,ウエストホールディングス,Industrials,建設業,貸借
1414,ショーボンドホールディングス,Industrials,建設業,貸借
1417,ミライト・ワン,Industrials,建設業,貸借
1418,インターライフホールディングス,Industrials,建設業,貸借
1419,タマホーム,Industrials,建設業,貸借
1420,サンヨーホームズ,Industrials,建設業,貸借
1429,日本アクア,Industrials,建設業,貸借
1430,ファーストコーポレーション,Industrials,建設業,貸借
1431,Ｌｉｂ　Ｗｏｒｋ,Industrials,建設業,貸借
1432,動力,Industrials,建設業,その他
1433,ベステラ,Industrials,建設業,貸借
1434,ＪＥＳＣＯホールディングス,Industrials,建設業,貸借
1435,ｒｏｂｏｔ　ｈｏｍｅ,Real Estate,不動産業,信用
1436,グリーンエナジー＆カンパニー,Industrials,建設業,信用
1438,岐阜造園,Industrials,建設業,信用
1443,技研ホールディングス,Industrials,建設業,信用
1444,ニッソウ,Industrials,建設業,信用
1445,ひかりホールディングス,Industrials,建設業,その他
1446,キャンディル,Industrials,建設業,貸借
1447,ＳＡＡＦホールディングス,Industrials,建設業,信用
1450,ＴＡＮＡＫＥＮ,Industrials,建設業,信用
1452,横浜ライト工業,Industrials,建設業,その他
1491,中外鉱業,Materials,非鉄金属,信用
1514,住石ホールディングス,Energy,鉱業,貸借
1515,日鉄鉱業,Energy,鉱業,貸借
1518,三井松島ホールディングス,Industrials,その他製品,貸借
1605,ＩＮＰＥＸ,Energy,鉱業,貸借
1662,石油資源開発,Energy,鉱業,貸借
1663,Ｋ＆Ｏエナジーグループ,Energy,鉱業,貸借
1711,ＳＤＳホールディングス,Industrials,建設業,信用
1712,ダイセキ環境ソリューション,Industrials,建設業,貸借
1716,第一カッター興業,Industrials,建設業,貸借
1717,明豊ファシリティワークス,Industrials,サービス業,信用
1718,美樹工業,Industrials,建設業,信用
1719,安藤・間,Industrials,建設業,貸借
1720,東急建設,Industrials,建設業,貸借
1721,コムシスホールディングス,Industrials,建設業,貸借
1723,日本電技,Industrials,建設業,信用
1724,シンクレイヤ,Industrials,建設業,信用
1726,ビーアールホールディングス,Industrials,建設業,信用
1736,オーテック,Industrials,建設業,信用
1743,コーアツ工業,Industrials,建設業,信用
1758,太洋基礎工業,Industrials,建設業,信用
1762,高松コンストラクショングループ,Industrials,建設業,貸借
1764,工藤建設,Industrials,建設業,信用
1766,東建コーポレーション,Industrials,建設業,貸借
1768,ソネック,Industrials,建設業,貸借
1770,藤田エンジニアリング,Industrials,建設業,信用
1773,ワイ・ティー・エル・コーポレーション・バーハッド,Industrials,建設業,信用
1776,三井住建道路,Industrials,建設業,信用
1780,ヤマウラ,Industrials,建設業,貸借
1783,ｆａｎｔａｓｉｓｔａ,Real Estate,不動産業,信用
1786,オリエンタル白石,Industrials,建設業,貸借
1787,ナカボーテック,Industrials,建設業,信用
1788,三東工業社,Industrials,建設業,信用
1793,大本組,Industrials,建設業,信用
1795,マサル,Industrials,建設業,信用
1798,守谷商会,Industrials,建設業,信用
1799,第一建設工業,Industrials,建設業,貸借
1801,大成建設,Industrials,建設業,貸借
1802,大林組,Industrials,建設業,貸借
1803,清水建設,Industrials,建設業,貸借
1807,佐藤渡辺,Industrials,建設業,信用
1808,長谷工コーポレーション,Industrials,建設業,貸借
1810,松井建設,Industrials,建設業,貸借
1811,錢高組,Industrials,建設業,貸借
