symbol,name,sector,industry
3562,ＮＯ．１,Industrials,6050
3563,ＦＯＯＤ  ＆  ＬＩＦＥ,Consumer Cyclical,6100
3565,アセンテック,Industrials,6050
3566,ユニフォームネクスト,Consumer Cyclical,6100
3569,セーレン,Consumer Cyclical,3100
3571,ソ  ト  ー,Consumer Cyclical,3100
3577,東海染工,Consumer Cyclical,3100
3580,小松マテーレ,Consumer Cyclical,3100
3583,オーベクス,Consumer Cyclical,3100
3591,ワコールホールディングス,Consumer Cyclical,3100
3597,自  重  堂,Consumer Cyclical,3100
3598,山    喜,Consumer Cyclical,3100
3600,フジックス,Consumer Cyclical,3100
3607,クラウディアＨＤ,Consumer Cyclical,3100
3608,ＴＳＩホールディングス,Consumer Cyclical,3100
3611,マツオカコーポレーション,Consumer Cyclical,3100
3612,ワールド,Consumer Cyclical,3100
3622,ネットイヤーグループ,Communication Services,5250
3623,ビリングシステム,Communication Services,5250
3624,アクセルマーク,Communication Services,5250
3625,テックファーム  ＨＤ,Communication Services,5250
3626,ＴＩＳＩ,Communication Services,5250
3627,テクミラホールディングス,Communication Services,5250
3628,データホライゾン,Communication Services,5250
3632,グリーホールディングス,Communication Services,5250
3633,ＧＭＯペパボ,Communication Services,5250
3634,ソケッツ,Communication Services,5250
3635,コーエーテクモ  ＨＤ,Communication Services,5250
3636,三菱総合研究所,Communication Services,5250
3639,ボルテージ,Communication Services,5250
3640,電    算,Communication Services,5250
3641,パピレス,Communication Services,5250
3645,メディカルネット,Communication Services,5250
3646,駅探,Communication Services,5250
3647,アスリナ,Communication Services,5250
3648,Ａ  Ｇ  Ｓ,Communication Services,5250
3649,ファインデックス,Communication Services,5250
3652,ディジタルメディア,Communication Services,5250
3653,モルフォ,Communication Services,5250
3656,ＫＬａｂ,Communication Services,5250
3657,ポールトゥウィン  ＨＤ,Communication Services,5250
3659,ネクソン,Communication Services,5250
365A,伊澤タオル,Consumer Cyclical,3100
3660,アイスタイル,Communication Services,5250
3661,エムアップホールディング,Communication Services,5250
3662,エイチームホールディング,Communication Services,5250
3663,セルシス,Communication Services,5250
3664,ＷＩＺＥ,Communication Services,5250
3665,エニグモ,Communication Services,5250
3667,ｅｎｉｓｈ,Communication Services,5250
3668,コロプラ,Communication Services,5250
366A,ウェルネス・コミュニケ,Industrials,9050
3670,協立情報通信,Communication Services,5250
3671,ソフトマックス,Communication Services,5250
3672,オルトプラス,Communication Services,5250
3673,ブロードリーフ,Communication Services,5250
3674,オークファン,Communication Services,5250
3675,クロス・マーケティング,Communication Services,5250
3676,デジタルハーツ  ＨＤ,Communication Services,5250
3678,メディアドゥ,Communication Services,5250
3679,じ  げ  ん,Communication Services,5250
